NAME,P2015,P2016,P2017,P2018,P2019,P2020,P2021,P2022,P2023,P2024
Dakar,3330694,3429375,3529304,3630323,3732282,3835011,3938362,4042235,4146594,4251426
Diourbel,1591593,1641349,1692969,1746492,1801999,1859503,1919098,1980831,2044773,2111024
Fatick,761713,787036,813544,841298,870361,900800,932629,965918,1000679,1036949
Kaffrine,609643,632025,655119,678955,703560,728951,755173,782273,810308,839314
Kaolack,1021657,1053543,1086454,1120402,1155433,1191577,1228746,1267018,1306311,1338470
Kédougou,161530,166902,172482,178272,184276,190509,196993,203719,210722,217989
Kolda,703779,725682,748450,772068,796581,822003,848347,875663,903969,933292
Louga,924047,950095,976884,1004398,1032644,1061612,1092092,1121618,1152654,1184347
Matam,607231,630703,654982,680087,706042,732863,761790,789215,818775,849270
Saint-Louis,957600,983022,1009164,1036003,1063539,1091735,1121426,1150065,1180143,1210804
Sédhiou,483768,500061,517012,534646,553006,572101,593101,612650,634177,656562
Tambacounda,730475,756591,783781,812075,841512,872155,905775,937183,971659,1007509
Thiès,1889320,1941546,1995030,2049765,2105711,2162833,2222400,2280458,2340869,2402264
Ziguinchor,583525,601929,621171,641253,662179,683955,707565,729949,754110,778978
